C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0021200119,0021300119,0021400119,0021500119,0021600119,0021700119,0021800119,0022100119,0022200119,0022300119,0022400119
0021200120,0021300120,0021400120,0021500120,0021600120,0021700120,0021800120,0022100120,0022200120,0022300120,0022400120
0021200121,0021300121,0021400121,0021500121,0021600121,0021700121,0021800121,0022100121,0022200121,0022300121,0022400121
0021200122,0021300122,0021400122,0021500122,0021600122,0021700122,0021800122,0022100122,0022200122,0022300122,0022400122
0021200123,0021300123,0021400123,0021500123,0021600123,0021700123,0021800123,0022100123,0022200123,0022300123,0022400123
0021200124,0021300124,0021400124,0021500124,0021600124,0021700124,0021800124,0022100124,0022200124,0022300124,0022400124
0021200125,0021300125,0021400125,0021500125,0021600125,0021700125,0021800125,0022100125,0022200125,0022300125,0022400125
0021200126,0021300126,0021400126,0021500126,0021600126,0021700126,0021800126,0022100126,0022200126,0022300126,0022400126
0021200127,0021300127,0021400127,0021500127,0021600127,0021700127,0021800127,0022100127,0022200127,0022300127,0022400127
0021200128,0021300128,0021400128,0021500128,0021600128,0021700128,0021800128,0022100128,0022200128,0022300128,0022400128
0021200129,0021300129,0021400129,0021500129,0021600129,0021700129,0021800129,0022100129,0022200129,0022300129,0022400129
0021200130,0021300130,0021400130,0021500130,0021600130,0021700130,0021800130,0022100130,0022200130,0022300130,0022400130
0021200131,0021300131,0021400131,0021500131,0021600131,0021700131,0021800131,0022100131,0022200131,0022300131,0022400131
0021200132,0021300132,0021400132,0021500132,0021600132,0021700132,0021800132,0022100132,0022200132,0022300132,0022400132
0021200133,0021300133,0021400133,0021500133,0021600133,0021700133,0021800133,0022100133,0022200133,0022300133,0022400133
0021200134,0021300134,0021400134,0021500134,0021600134,0021700134,0021800134,0022100134,0022200134,0022300134,0022400134
0021200135,0021300135,0021400135,0021500135,0021600135,0021700135,0021800135,0022100135,0022200135,0022300135,0022400135
